Distance[Bohr] Energy[Ha]
0.6 -0.7148450766387267
0.8 -0.9720362411057804
1.0 -1.0785231426105377
1.2 -1.1186008308012387
1.4 -1.1267426311372373
1.6 -1.1189385172241668
1.8 -1.1032258359823413
2.0 -1.0838106682474649
2.2 -1.06292740260015
2.4 -1.0417706159757751
2.6 -1.0209780769138908
2.8 -1.0008864720482675
3.0 -0.9816708765047821
3.4 -0.9461780822264849
3.8 -0.914755638465647
4.4 -0.8750014064171585
