Distance[Bohr] Energy[Ha]
0.6 -3.179900301501168
0.8 -4.178787839556939
1.0 -4.71484314700427
1.2 -5.049104450521957
1.4 -5.2699720716751415
1.6 -5.4182087166147115
1.8 -5.517830598376265
2.0 -5.584489065930989
2.2 -5.628759886983992
2.4 -5.657898470333271
2.6 -5.67689163349238
2.8 -5.689151287594492
3.0 -5.69699433098748
3.4 -5.7051239430571945
3.8 -5.7083505581210465
4.4 -5.709910689575616
